name;phone;email;website;address;
123webpro;71211425��;info@123webpro.com;www.123webpro.com;R�sidence El Ahmadi - 2097 BOUMHEL BEN AROUS;;;;;;
2CW (CONSEIL COMMUNICATION WEB);71873398;mustapha.mezgheni@planet.tn*** info@2cw.com.tn ;;13, r. S. Ben Slimene, Manar II;Mustapha Mezguani;�tudes, conseil en technologies de l�information et E-services, parcs technologiques, incubateurs de projets et p�pini�res d'entreprises, support et accompagnement des entreprises technologiques ;;71858750;71858840;www.2cw.com.tn
2Web Tunisie;71 856 934;contact@2web-tunisie.com;www.2web-tunisie.com;P�le technologique 2088 ARIANA;;;;;;
3D INFO;71785543 / 71849123 / 71254978 / 71254978;info3d@planet.tn;;2, r. Guin�e, Tunis  - 7,r.8002 ,Mpnplaisir, Tunis - 108, r. Yougoslavie, unis;;;;;;
3I;71 961 859;3i@3i.com.tn;www.3i.com.tn;Rue Lac Victoria - R�sidence El MANAMA2 Les Berges Du Lac;;;;;;
3S;71 11 11 00;recrutement@3s.com.tn;www.3s.com.tn;Immeuble 3S, lotissement Ennassim (par avenue Kheireddine Pacha) 1073 Tunis, Tunisie;;;;;;
3S GLOBALNET;71801155 / 71872000;nasr@gnet.tn;;12, av. H. Rachid, Mutuelleville, Tunis - 30, av. M. Jarbou, Manar II, Tunis;;;;;;
3S2I;71862081;3s2i@planet.tn;;R�s. Sa�d, Berges Lac;;;;;;
Abc-webmarketing;71252251;mae@abc-webmarketing.com;www.abc-webmarketing.com;12, Avenue de Paris, 1001 Tunis.;;;;;;
Acceleate;73 820 875;yzouari@acceleate.com;www.acceleate.com;Technop�le de Sousse, Hammam Maarouf - 4000 Sousse - Tunisia;;;;;;
Access to e-business;71 888 882;mae@accesstoebusiness.com;www.accesstoebusiness.com;Avenue S.Ben Slimane - Diar El Ons Appt J5D - 2092 El Manar 2 Tunis -Tunisie;;;;;;
Adept;+33 (0)1 69 19 16 16;"info.de@adept.com;info.fr@adept.com";www.adept.com;Adept Technology France - Parc d'activit�s du Haut de Wissous - 3, av. Jeanne Garnerin - B�t. 4, RDC gauche - 91320 Wissous - France;;;;;;
Adeptiberica; +33 (0)1 6919 1616;adept@adeptiberica.com;www.adeptiberica.com;Adept Technology France SARL - Parc Du Moulin de Massy - 41, rue du Saule Trapu  CE-222rt - 91882 MASSY Cedex(France);;;;;;
Adhoc International;71 23 37 33;"monastir@adhoc-international.com;Rim.souissi@adhoc-international.com";www.adhoc-international.com;International City Center - Centre Urbain Nord - 1082 Tunis, Tunisie;;;;;;
ADP TUNISIE;71940133;moez.mili@planet.tn;;12, r. Usine;;;;;;
Aexia;;rh@aexia.net;www.aexia.net;;;;;;;
AFRICON;71708399;graedej.Hausjuerg@imksoft.ch;;Ariana Center, Ariana;;;;;;
Agency Web;71762345��;contact@agencyweb.tunis.in;www.agencyweb.tunis.in;32, R. Saad GHRAB Cit� des Journalistes- 2083 C. GHAZELA ARIANA;;;;;;
AIDE INFORMATIQUE;71752077;aide@planet.tn;;45, r. Moez, Menzah;;;;;;
Alcatel Tunisie;71856611/71857446;"alcatel.tunisie@alcatel.fr;njean-francois.bousquet@alcatel.fr";www.alcatel.fr;Parc Technologique des Communications Route de Raoued km 3,5 BP N� 165 - 2083 C. EL GHAZALA ARIANA;;;;;;
Aldebaran-robotics;;contact@aldebaran-robotics.com;www.aldebaran-robotics.com;;;;;;;
Alma;;almafrance-grenoble@alma.fr;www.alma.fr;;;;;;;
Alpha Studios;71 767 199;info@alpha-studios.com;www.alpha-studios.com;28, rue Lieutenant Bijaoui - Menzah V - 1004 Tunis - Tunisie;;;;;;
Alpha-engineering;71964906��;contact@alpha-engineering.net;www.alpha-engineering.net;Bur. 10, Imm. Arcadia, R. Lac Michigan - 1053 Les Berges Du Lac Tunis;;;;;;
AMADEUS TUNISIE;71847188;amadeus@gnet.tn;;41bis, av. L. Braille;;;;;;
APPLICATION ON LINE;71773673;apol@apol.ws;;2, r. 8601, Z.I. Charguia;;;;;;
Applisys;79 490 459;contact@applisys.net;www.applisys.net;Appt. E4, R�sidence ELMOMTEZ - 2068 ELMOUROUJ 5;;;;;;
Aqueduc New Technology;;recrutement.aqueduc@gmail.com;;;;;;;;
ARAB SOFT INTERNATIONAL;71705788;aboumarwan@gnet.tn;;4, av. Ind�pendance, Ariana;;;;;;
